Game Name,Price,Discount,Reviews,Tags,Release Date,Publisher
Dead as Disco,$31.48,0%,Overwhelmingly Positive,"Early Access, Rhythm, Beat 'em up, Spectacle fighter, Hack and Slash, Music, Martial Arts, PvE, Action, Arcade, Character Customization, Character Action Game, Souls-like, Third Person, 3D, Cyberpunk, Controller, Colorful, Anime, Stylized","May 5, 2026","Brain Jar Games, Inc."
Tom Clancy’s The Division® 2,$32.38,-40%,Mixed,"Looter Shooter, Open World, Multiplayer, Third-Person Shooter, Singleplayer, Online Co-Op, Shooter, Action, Adventure, RPG, Co-op, Post-apocalyptic, Loot, PvE, Character Customization, Massively Multiplayer, Survival, Military, PvP, Story Rich","Jan 12, 2023",Ubisoft
Raft,$19.99,0%,Very Positive,"Survival, Multiplayer, Open World Survival Craft, Co-op, Crafting, Open World, Building, Base Building, Online Co-Op, Adventure, Sandbox, First-Person, Singleplayer, Underwater, Simulation, Early Access, Action, Indie, Strategy, Massively Multiplayer","Jun 20, 2022",Axolot Games
Split Fiction,$53.98,0%,Overwhelmingly Positive,"Co-op, Split Screen, Local Co-Op, Female Protagonist, Online Co-Op, Action-Adventure, 3D Platformer, Fantasy, Sci-fi, Story Rich, Co-op Campaign, Third Person, Multiplayer, Adventure, Action, Local Multiplayer, Psychological Horror, Puzzle Platformer, Platformer, Funny","Mar 6, 2025",Electronic Arts
Mount & Blade II: Bannerlord,$63.73,0%,Very Positive,"Medieval, Strategy, Open World, RPG, War, Multiplayer, Sandbox, Singleplayer, Action, Character Customization, Simulation, Moddable, Adventure, Horses, Realistic, Third Person, Historical, First-Person, Great Soundtrack, Early Access","Oct 25, 2022",TaleWorlds Entertainment
Palia,Free To Play,0%,Very Positive,"Free to Play, Multiplayer, Life Sim, Cozy, Farming Sim, Exploration, Building, Crafting, Relaxing, Online Co-Op, Casual, Cute, Dating Sim, RPG, Co-op, Nature, Simulation, Mystery, Atmospheric, MMORPG","Mar 25, 2024",Singularity 6 Corporation
Far Far West,$19.99,0%,Very Positive,"Early Access, Online Co-Op, FPS, PvE, Western, Multiplayer, Extraction Shooter, Co-op, Shooter, Action, Robots, Loot, Comedy, First-Person, Combat, Difficult, Action-Adventure, Magic, Sci-fi, Survival","Apr 28, 2026",Fireshine Games
DAVE THE DIVER,$41.36,0%,Very Positive,"Pixel Graphics, Management, Casual, Adventure, Relaxing, Exploration, Singleplayer, Fishing, RPG, Underwater, Simulation, Farming Sim, Story Rich, Roguelite, 2D, Crafting, Funny, Agriculture, Action, Indie","Jun 28, 2023",MINTROCKET
Terraria,$9.99,0%,Overwhelmingly Positive,"Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Pixel Graphics, Adventure, Crafting, Building, Exploration, Co-op, Open World, Indie, Online Co-Op, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric","May 16, 2011",Re-Logic
F1® 25,$39.99,-20%,Very Positive,"Racing, Sports, Multiplayer, Driving, Simulation, VR, Automobile Sim, PvP, Online Co-Op, Co-op, Singleplayer, Controller, Realistic, Split Screen, Arcade, Competitive","May 30, 2025",Electronic Arts
Wallpaper Engine,$4.99,0%,Mostly Positive,"Utilities, Anime, Software, Design & Illustration, Animation & Modeling, First-Person, Indie, Cute, Memes, Action, Singleplayer, Funny, Early Access, Photo Editing, Sandbox, Gaming, Horror, Game Development, Souls-like, Dating Sim","Nov 16, 2018",Wallpaper Engine Team
Kingdom Come: Deliverance II,$103.97,0%,Very Positive,"RPG, Medieval, Open World, Singleplayer, Story Rich, First-Person, Realistic, Adventure, Action, Historical, Swordplay, Combat, Immersive, Political, Choices Matter, Atmospheric, Alternate History, Action-Adventure, 3D, LGBTQ+","Feb 4, 2025",Deep Silver
DRAGON BALL XENOVERSE 2,$5.59,-30%,Very Positive,"Anime, Fighting, Character Customization, Action, Multiplayer, Adventure, Massively Multiplayer, Co-op, RPG, Online Co-Op, Singleplayer, Open World, Third Person, Story Rich, Moddable, MMORPG, Beat 'em up, Great Soundtrack, Dragons, Casual","Oct 27, 2016",Bandai Namco Entertainment
Garry's Mod,$4.99,-50%,Overwhelmingly Positive,"Sandbox, Moddable, Multiplayer, Physics, Building, Casual, Funny, First-Person, Singleplayer, FPS, Simulation, Comedy, Shooter, Online Co-Op, Co-op, Action, Indie, PvP, Realistic, Exploration","Nov 29, 2006",Valve
Enshrouded,$34.18,0%,Mostly Positive,"Open World, Survival, Base Building, Multiplayer, Online Co-Op, Crafting, RPG, Adventure, Exploration, Building, Action RPG, Fantasy, Singleplayer, Sandbox, Character Customization, PvE, Early Access, Action, 3D, Indie","Jan 24, 2024",Keen Games GmbH
Call of Duty®: Warzone™,Free,0%,Mostly Negative,"Free to Play, FPS, Battle Royale, Multiplayer, Shooter, Action, Singleplayer, Violent, First-Person, Military, Gore, Online Co-Op, PvP, Survival, Co-op, Open World, Realistic, Adventure, Third Person, Atmospheric","Nov 16, 2022",Activision
ZeroSpace,$35.99,-10%,Mostly Positive,"Early Access, Action RTS, Wargame, Real Time Tactics, RTS, PvE, City Builder, PvP, Strategy RPG, Story Rich, Action RPG, Grand Strategy, Base Building, Strategy, RPG, Isometric, Economy, Military, Robots, Survival","Jul 20, 2026","Starlance Studios, Gamersky Games"
PRAGMATA,$59.99,0%,Very Positive,"Sci-fi, Cute, Action, Third-Person Shooter, Funny, Adventure, Robots, Futuristic, Singleplayer, Action-Adventure, Hacking, Third Person, Story Rich, Space, 3D, Artificial Intelligence, PvE, Realistic, Female Protagonist, Souls-like","Apr 16, 2026","CAPCOM Co., Ltd."
DOOM: The Dark Ages,$69.99,0%,Very Positive,"Action, FPS, Demons, Dark Fantasy, Singleplayer, Gore, Sci-fi, Cinematic, First-Person, Shooter, Story Rich, Atmospheric, Lore-Rich, Dragons, Mechs, Adventure, Fast-Paced, Boomer Shooter, Great Soundtrack, Violent","May 14, 2025",Bethesda Softworks
NTE: Neverness to Everness,Free To Play,0%,Very Positive,"RPG, Free to Play, Open World, Adventure, Anime, Action, Driving, Combat, JRPG, Life Sim, Multiplayer, Cartoon, 3D Platformer, Romance, Action-Adventure, Cinematic, Action RPG, Fishing, Surreal, Motorbike","Jul 7, 2026",Perfect World Games
Tabletop Simulator,$19.99,0%,Very Positive,"Tabletop, Board Game, Simulation, Multiplayer, Sandbox, Card Game, VR, Trading Card Game, Moddable, Physics, Online Co-Op, Strategy, 3D, Casual, Wargame, Co-op, RPG, Funny, First-Person, Indie","Jun 5, 2015",Berserk Games
ELDEN RING Shadow of the Erdtree,$39.99,0%,Mixed,"Action, RPG, Souls-like, Difficult, Fantasy, Exploration, Lore-Rich, Dark, Adventure, Singleplayer, Multiplayer, Third Person, Story Rich, Action RPG, Character Customization, PvE, PvP, Online Co-Op, 3D, Co-op","Jun 20, 2024","FromSoftware, Inc., Bandai Namco Entertainment"
Nine Sols,$14.99,-50%,Very Positive,"Metroidvania, Souls-like, Difficult, 2D, Platformer, Action, Hand-drawn, Story Rich, Indie, Atmospheric, Cats, Adventure, Gore, Dark Fantasy, Sci-fi, Mythology, Singleplayer, Martial Arts, Action-Adventure, Comic Book","May 28, 2024",RedCandleGames
Aimlabs,Free,0%,Mostly Positive,"FPS, Free to Play, Shooter, Simulation, Action, First-Person, Third-Person Shooter, Software, eSports, Score Attack, Controller, Level Editor, Competitive, Co-op, PvP, PvE, Education, 3D, Sniper, Casual","Jun 16, 2023",Statespace
Planet Coaster 2,$25.99,-60%,Very Positive,"Simulation, Sandbox, Strategy, Building, City Builder, 3D, Singleplayer, Economy, God Game, Realistic, Management, Colorful, Online Co-Op, Atmospheric, Family Friendly, Relaxing, Funny, Multiplayer, Asynchronous Multiplayer, VR","Nov 6, 2024",Frontier Developments
Half Sword,$27.98,0%,Mostly Positive,"Early Access, Gore, Physics, Combat, Medieval, Swordplay, Realistic, Historical, Simulation, Fighting, Action, Sandbox, Singleplayer, Third Person, Immersive, Hack and Slash, 3D Fighter, First-Person, 3D, Multiplayer","Jan 30, 2026",Game Seer Publishing
Derail Valley,$29.99,-25%,Overwhelmingly Positive,"Early Access, Trains, Simulation, Realistic, VR, Transportation, Driving, Open World, First-Person, Physics, Immersive Sim, Singleplayer, Economy, Sandbox, Resource Management, Indie, Replay Value, Adventure, Relaxing, Procedural Generation","Jan 25, 2019",Altfuture
SILENT HILL f,$34.99,-50%,Mostly Positive,"Psychological Horror, Horror, Female Protagonist, Survival Horror, Story Rich, Souls-like, Action, Psychological, Adventure, Atmospheric, Action-Adventure, Exploration, Cinematic, Multiple Endings, Gore, Third Person, Singleplayer, Violent, 3D, Combat","Sep 24, 2025",KONAMI
DayZ,$59.99,0%,Very Positive,"Survival, Open World, Zombies, Online Co-Op, Multiplayer, Post-apocalyptic, Shooter, PvP, Massively Multiplayer, FPS, Sandbox, Horror, Action, Survival Horror, Co-op, Adventure, First-Person, Simulation, Atmospheric, Choose Your Own Adventure","Dec 13, 2018",Bohemia Interactive
God of War Ragnarök,$69.99,0%,Very Positive,"Action, Adventure, Action-Adventure, RPG, Hack and Slash, Mythology, Story Rich, Cinematic, Action RPG, Third Person, 3D, Singleplayer, Atmospheric, Open World, Fantasy, Emotional, Combat, Gore, Souls-like, LGBTQ+","Sep 19, 2024",PlayStation Publishing LLC
Resident Evil 7 Biohazard,$7.99,-60%,Very Positive,"Horror, Survival Horror, First-Person, Singleplayer, VR, Gore, Atmospheric, Zombies, Psychological Horror, Action, Violent, Survival, Puzzle, Multiplayer, Story Rich, Adventure, FPS, Exploration, Shooter, Classic","Jan 23, 2017","CAPCOM Co., Ltd."
Pathogenic,$7.99,-20%,Very Positive,"Roguelike, Top-Down Shooter, Bullet Hell, Bullet Heaven, Local Co-Op, Action Roguelike, Dungeon Crawler, Difficult, Shooter, Character Customization, 2D, Co-op, Controller, Perma Death, Procedural Generation, Roguelite, Action, Survival, Replay Value, Casual","Jul 16, 2026",Slug Disco
Mina the Hollower,$34.18,-5%,Very Positive,"Action-Adventure, Top-Down, Pixel Graphics, Female Protagonist, 2D Platformer, Platformer, 2D, Gothic, Action, Souls-like, Controller, Horror, Dark Fantasy, Colorful, Fantasy, Adventure, Atmospheric, Science, Singleplayer, Difficult","May 28, 2026",Yacht Club Games
Starfield,$49.99,0%,Mixed,"Space, Open World, Singleplayer, RPG, Sci-fi, Exploration, Character Customization, First-Person, Story Rich, Action-Adventure, Third Person, Adventure, Action RPG, Space Sim, Atmospheric, Moddable, Action, Cinematic, Realistic, Great Soundtrack","Sep 5, 2023",Bethesda Softworks
No Rest for the Wicked,$80.97,0%,Mostly Positive,"Early Access, Souls-like, Action RPG, Online Co-Op, Hack and Slash, Open World, Combat, Exploration, RPG, Isometric, Cinematic, Character Customization, Colorful, Controller, 3D, Action, Immersive Sim, Dark Fantasy, Stylized, Atmospheric","Apr 18, 2024",Moon Studios GmbH
Abiotic Factor,$40.83,0%,Very Positive,"Survival, Online Co-Op, Open World Survival Craft, Crafting, Base Building, Sci-fi, Exploration, Co-op Campaign, Multiplayer, First-Person, Sandbox, Early Access, Science, FPS, Building, Immersive Sim, Adventure, PvE, Simulation, Aliens","Jul 22, 2025",Playstack
Gray Zone Warfare,$67.99,0%,Mostly Positive,"FPS, Tactical, Realistic, Extraction Shooter, Simulation, Open World, Military, Shooter, PvE, Action, Competitive, Gun Customization, Multiplayer, PvP, Modern, Online Co-Op, Survival, War, Massively Multiplayer, Early Access","Apr 30, 2024","MADFINGER Games, a.s."
Grounded 2,$39.99,0%,Very Positive,"Survival, Multiplayer, Adventure, Base Building, Co-op, Action, Open World, Exploration, Crafting, Open World Survival Craft, Early Access, Sandbox, Online Co-Op, RPG, First-Person, Third Person, Singleplayer, Horror, Split Screen, Building","Jul 29, 2025",Xbox Game Studios
Witchspire,$37.98,0%,Very Positive,"Early Access, Adventure, Open World Survival Craft, Fantasy, Online Co-Op, Creature Collector, Action-Adventure, Crafting, Base Building, Open World, Magic, Combat, Controller, Inventory Management, Multiplayer, Colorful, Action RPG, Difficult, PvE, Singleplayer","Jun 10, 2026","Envar Games, Envar Publishing"
Bloons TD 6,$39.17,0%,Overwhelmingly Positive,"Tower Defense, Strategy, Multiplayer, Singleplayer, Online Co-Op, Co-op, Family Friendly, Casual, 3D, Cartoony, Sandbox, 2D, Great Soundtrack, Difficult, Touch-Friendly, Cute, Funny, Addictive, Survival, Action","Dec 17, 2018",Ninja Kiwi
Cult of the Lamb,$37.78,0%,Overwhelmingly Positive,"Base Building, Action Roguelike, Cute, Cult, Singleplayer, Dungeon Crawler, Roguelite, Character Customization, Colony Sim, Dark Humor, Building, 2D, Adventure, Action, Faith, Fantasy, Funny, Controller, Colorful, Strategy","Aug 11, 2022",Devolver Digital
Assassin’s Creed Shadows,$470.99,-9%,Mixed,"Action-Adventure, Open World, Ninja, Stealth, Samurai, Assassins, Combat, 3D, Action, Historical, Adventure, Singleplayer, Base Building, RPG, Swordplay, Third Person, Female Protagonist, Parkour, Exploration, Violent","Mar 19, 2025",Ubisoft
Monster Hunter: World,$7.79,-74%,Very Positive,"Co-op, Multiplayer, Action, Open World, RPG, Character Customization, Third Person, Adventure, Fantasy, Action RPG, Difficult, Singleplayer, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, MMORPG, Souls-like","Aug 8, 2018","CAPCOM Co., Ltd."
Tabletop Tavern,$15.99,-20%,Very Positive,"Strategy, Roguelike, RTS, Wargame, Real Time Tactics, Roguelite, Tactical, Historical, War, Tabletop, 3D, Isometric, Fantasy, Medieval, Combat, Mythology, Nonlinear, Singleplayer, Minimalist, Management","Jun 11, 2026","Frostbloom, Gamirror Games"
Age of Empires II: Definitive Edition,$67.98,0%,Very Positive,"Strategy, RTS, City Builder, Multiplayer, Base Building, Historical, Singleplayer, Medieval, Resource Management, Classic, Tactical, Real-Time, Co-op, Remake, 2D, Isometric, Replay Value, Action, Great Soundtrack, Adventure","Nov 14, 2019",Xbox Game Studios
SnowRunner,$11.99,-60%,Very Positive,"Simulation, Automobile Sim, Multiplayer, Driving, Adventure, Exploration, Realistic, Open World, Sandbox, First-Person, Third Person, Atmospheric, Snow, Immersive Sim, Physics, Racing, Nature, ATV, Team-Based, PvE","May 17, 2021",Focus Entertainment
Brawlhalla,$19.99,-50%,Mixed,"Free to Play, Multiplayer, Fighting, 2D Fighter, 2D Platformer, Casual, Local Multiplayer, Co-op, Platformer, Controller, Action, Local Co-Op, Online Co-Op, Fantasy, 4 Player Local, eSports, Family Friendly, Cartoony, Singleplayer, Indie","Oct 17, 2017",Ubisoft
FINAL FANTASY VII REMAKE INTERGRADE,$39.99,0%,Very Positive,"RPG, Action RPG, JRPG, Singleplayer, Action-Adventure, Party-Based RPG, Spectacle fighter, Third Person, Action, Fantasy, Controller, Adventure, 3D, Magic, Story Rich, 3D Platformer, Cinematic, Realistic, Sci-fi, Great Soundtrack","Jun 17, 2022",Square Enix
Stellar Blade™,$59.99,0%,Very Positive,"Female Protagonist, Action, Hack and Slash, Souls-like, Sexual Content, Singleplayer, Third Person, Action RPG, Post-apocalyptic, Adventure, Action-Adventure, Combat, Futuristic, 3D, Story Rich, Multiple Endings, Dystopian, Quick-Time Events, Stylized, PvE","Jun 11, 2025",PlayStation Publishing LLC (excluding China)
Fallout 4,$89.08,0%,Very Positive,"Open World, Post-apocalyptic, Singleplayer, Exploration, RPG, Adventure, Atmospheric, Shooter, First-Person, Story Rich, Action, FPS, Sci-fi, Sandbox, Action RPG, Great Soundtrack, Survival, Third Person, Third-Person Shooter, Character Customization","Nov 9, 2015",Bethesda Softworks
Call of Duty®: Black Ops,$792.38,0%,Very Positive,"Action, FPS, Zombies, Multiplayer, Shooter, Singleplayer, Cold War, First-Person, War, Military, Online Co-Op, Co-op, Story Rich, Gore, Controller, Adventure, Linear, Massively Multiplayer, Horror, Great Soundtrack","Nov 9, 2010",Activision
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,$49.99,0%,Very Positive,"Action, RPG, Adventure, JRPG, Great Soundtrack, Action-Adventure, Emotional, Singleplayer, Story Rich, Fantasy, Magic, Colorful, 3D, Action RPG, Hack and Slash, Anime, Atmospheric, Character Action Game, Cute, Classic","Jun 13, 2024",Square Enix
Hell Let Loose: Vietnam,$35.99,-10%,N/A,"Action, Simulation, Strategy, FPS, Shooter, Military, Massively Multiplayer, Historical, Realistic, War, First-Person, Violent, Gore, Tactical, Combat, Multiplayer, PvP, Cold War, Vehicular Combat, Wargame","Aug 13, 2026",Team17
SMITE 2,Free To Play,0%,Mixed,"Early Access, MOBA, Action, Third Person, Strategy, Mythology, Adventure, Competitive, Casual, RPG, Multiplayer, Massively Multiplayer, PvP, Team-Based, Combat, Online Co-Op, Co-op, God Game, Action-Adventure, MMORPG","Aug 27, 2024",Hi-Rez Studios
DRAGON BALL GEKISHIN SQUADRA,Free To Play,0%,Mixed,"Free to Play, Action, MOBA, Multiplayer, PvP, Top-Down, Anime, Action RTS, Online Co-Op, Co-op, Competitive, Casual, Controller, Fighting, Fantasy, Tower Defense, Sci-fi, 2D, Character Action Game, Dating Sim","Sep 9, 2025",Bandai Namco Entertainment
Victoria 3,$14.99,-70%,Mixed,"Grand Strategy, Economy, Historical, Political Sim, Strategy, Capitalism, Politics, Diplomacy, Management, Simulation, Alternate History, Moddable, Political, Resource Management, Real-Time with Pause, Sandbox, Multiplayer, Singleplayer, Replay Value, Military","Oct 25, 2022",Paradox Interactive
inZOI,$39.99,0%,Very Positive,"Life Sim, Character Customization, Simulation, Realistic, Singleplayer, Building, Family Friendly, Romance, Sandbox, Immersive Sim, Dating Sim, Sexual Content, Modern, Cats, City Builder, Relaxing, Moddable, Casual, Early Access, Cute","Mar 27, 2025","KRAFTON, Inc."
Angels Fall First,$41.29,0%,Very Positive,"Action, FPS, Indie, Sci-fi, Multiplayer, Space, Simulation, First-Person, Singleplayer, Tactical, Violent, Shooter, Co-op, Futuristic, War, PvP, Military, Space Sim, 6DOF, Combat","Jul 11, 2026",Strangely Interactive Ltd
Left 4 Dead 2,$14.98,0%,Overwhelmingly Positive,"Zombies, Co-op, FPS, Multiplayer, Shooter, Online Co-Op, Action, Survival, Horror, First-Person, Gore, Team-Based, Moddable, Survival Horror, Post-apocalyptic, Singleplayer, Adventure, Local Co-Op, Replay Value, Tactical","Nov 16, 2009",Valve
Ghost of Tsushima DIRECTOR'S CUT,$59.99,0%,Very Positive,"Open World, Action, Story Rich, Singleplayer, Adventure, Stealth, Combat, Ninja, Third Person, Souls-like, Action-Adventure, Historical, Action RPG, Atmospheric, Samurai, Exploration, Multiplayer, Gore, Violent, Online Co-Op","May 16, 2024",PlayStation Publishing LLC
Assassin's Creed® Odyssey,$470.99,-9%,Very Positive,"Open World, Action-Adventure, RPG, Mythology, Assassins, Multiple Endings, Exploration, Singleplayer, Historical, Action, Third Person, Adventure, Stealth, Story Rich, Female Protagonist, Parkour, Choices Matter, Multiplayer, Choose Your Own Adventure, Cinematic","Oct 5, 2018",Ubisoft
The Incident at Galley House,$24.28,0%,Overwhelmingly Positive,"Mystery, Puzzle, Detective, Visual Novel, Story Rich, Adventure, Logic, Atmospheric, Nonlinear, Horror, Casual, 2D, 3D, Colorful, Singleplayer, Controller, Investigation","Jul 14, 2026",Evil Trout Inc.
Europa Universalis IV,$203.80,0%,Very Positive,"Grand Strategy, Strategy, Historical, Simulation, 4X, Alternate History, Wargame, Military, Diplomacy, Economy, Replay Value, Sandbox, Political, Real-Time with Pause, Moddable, Nonlinear, Co-op, Singleplayer, Management, Multiplayer","Aug 13, 2013",Paradox Interactive
GIRLS' FRONTLINE 2: EXILIUM,Free To Play,0%,Very Positive,"Anime, Strategy, RPG, Free to Play, Sexual Content, Turn-Based Strategy, Turn-Based Combat, Strategy RPG, 3D, Story Rich, Sci-fi, Military, Cute, Visual Novel, Female Protagonist, Turn-Based Tactics, Gun Customization, Singleplayer, Dating Sim, Great Soundtrack","Feb 10, 2025",Darkwinter Software Limited
Cuphead,$26.98,0%,Very Positive,"Difficult, Cartoon, Co-op, Platformer, Local Co-Op, Great Soundtrack, Multiplayer, 2D, Indie, Hand-drawn, Bullet Hell, Cartoony, Retro, Action, Shoot 'Em Up, Singleplayer, Side Scroller, Souls-like, Colorful, Funny","Sep 29, 2017",Studio MDHR Entertainment Inc.
TEKKEN 8,$39.99,0%,Mostly Positive,"Fighting, 3D Fighter, Multiplayer, Action, Local Multiplayer, PvP, eSports, Arcade, Singleplayer, Competitive, Character Customization, Sexual Content, Martial Arts, Anime, Great Soundtrack, Controller, Difficult, Gambling, Casual, Story Rich","Jan 25, 2024",Bandai Namco Entertainment
Marvel’s Spider-Man Remastered,$59.99,0%,Overwhelmingly Positive,"Open World, Superhero, Action, Singleplayer, Story Rich, Adventure, Combat, Action-Adventure, Third Person, Parkour, Comic Book, Exploration, Beautiful, Stealth, Great Soundtrack, Funny, Atmospheric, Sci-fi, Controller, Multiplayer","Aug 12, 2022",PlayStation Publishing LLC
Cities: Skylines,$167.62,0%,Very Positive,"City Builder, Simulation, Building, Management, Strategy, Sandbox, Singleplayer, Economy, Moddable, Resource Management, Mod, Realistic, Replay Value, Casual, Modern, Real-Time with Pause, Family Friendly, Great Soundtrack, Funny, Action","Mar 10, 2015",Paradox Interactive
YAPYAP,$17.98,0%,Very Positive,"Online Co-Op, Multiplayer, Horror, Magic, Comedy, Physics, Dark Fantasy, Survival Horror, Procedural Generation, First-Person, Dungeon Crawler, Exploration, Action, Funny, Co-op, Stealth, Stylized, Action Roguelike, Fantasy, PvE","Feb 3, 2026",Maison Bap
Planet Zoo,$77.10,0%,Very Positive,"Zoo, Management, Simulation, Building, Sandbox, Nature, City Builder, Economy, Singleplayer, Realistic, Multiplayer, Family Friendly, Cute, Resource Management, Strategy, Great Soundtrack, Relaxing, Open World, Animals, Casual","Nov 5, 2019",Frontier Developments
Heroes of Might and Magic: Olden Era,$69.89,-16%,Very Positive,"Strategy, Turn-Based Strategy, Multiplayer, RPG, Fantasy, Simulation, Tactical, Grand Strategy, War, 4X, Sandbox, Historical, Turn-Based, Action, Singleplayer, Military, Moddable, Management, Early Access, Economy","Apr 30, 2026",Hooded Horse
GUILTY GEAR -STRIVE-,$39.99,0%,Very Positive,"Fighting, 2D Fighter, Great Soundtrack, Anime, PvP, 2.5D, Arcade, Multiplayer, Lore-Rich, Action, 2D, Local Multiplayer, Story Rich, 3D, LGBTQ+, Combat, Fantasy, Cinematic, Casual, Singleplayer","Jun 11, 2021",Arc System Works
